licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county
Kkp0945,Publican's Licence (7-Day Ordinary),Mary Lawlor,Lawlor's,,Kilcarrig Street,Bagenalstown,,Co. Carlow
1010865,Wine Retailer's On Licence,Sun Shine Chinese Restaurant,Sun Shine Chinese Restaurant,Xu Ling Zhang,Hawkins Lane,Abbey Street,Tullow,Co. Carlow
Cap0189,Publican's Licence (7-Day Ordinary),John Colgan,The Tara Arms,,Church Street,Tullow,,Co. Carlow
1010539,Wine Retailer's On Licence,Jasres Limited,Jasmine,Ng Yi Yi,Staplestown Road,Carlow,,Co. Carlow
Cap0105,Publican's Licence (7-Day Ordinary),Rory Sheerin,The Ridge Bar,,Old Leighlin,,,Co. Carlow
Cap0134,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Keadeen Carlow Limited,Seven Oaks Hotel,Mr Michael Murphy,Athy Road,Carlow,,Co. Carlow
1012035,"Spirit, Beer & Wine Retailer's Off Licence",Drive Forecourt Services Limited,,,By Pass Stores,Seskin Road,Leighlinbridge,Co. Carlow
Cap0166,Publican's Licence (7-Day Ordinary),Joe Doyle,Joe Doyles,,Main Street,Ballon,,Co. Carlow
Kkp0951,Publican's Licence (7-Day Ordinary),Bartholomew Murphy,The Red Lion,,Regent Street,Bagenalstown,,Co. Carlow
1013619,Wine Retailer's On Licence,Alimul Kabir,New Shapla Indian Restaurant,Alimul Kabir,Kennedy Avenue,Carlow Town,,Co. Carlow
Cap0103,Publican's Licence (7-Day Ordinary),Denis Carey,Carey's Pub,,Old Leighlin,,,Co. Carlow
1002189,Publican's Licence (7-Day Ordinary),Invito Veritas Limited,Carpe Diem,,Bank House,Court Place,,Co. Carlow
Kkp0950,Publican's Licence (7-Day Ordinary),James Doyle,Jimmy D's,,Regent Street,Bagenalstown,,Co. Carlow
1002982,Publican's Licence (7-Day Ordinary),Robert Breen,,,Main Street,Borris,,Co. Carlow
Caw0447,Wine Retailer's On Licence,Arboretum Garden Centre Limited,Mulberrys Restaurant,Frank And Rachael Doyle,Kilkenny Road,Leighlin Bridge,,Co. Carlow
1013038,Publican's Licence (7-Day Ordinary),Walsh Whiskey Distillery Limited,,,Royal Oak,,,Co. Carlow
Cap0004,Publican's Licence (7-Day Ordinary),James Murphy,,,Tougher's,Dublin Road,Carlow,Co. Carlow
Cap0455,Publican's Licence (7-Day Ordinary),Margaret Mellett,The Ardattin Inn,,Ardattin,Tullow,,Co. Carlow
1010105,Manufacturer's Licence - Distiller,Smyth & O'reilly Artisan Distillers Ltd,Smyth And O'reilly,Charles Smyth,Ballydarton House,Fenagh,,Co. Carlow
1013022,Special Restaurant Licence,Robert White And Karen White,Clashganny House Restaurant,Robert White,Clashganny House,Ballykeenan,Borris,Co. Carlow
Kkp0954,Publican's Licence (7-Day Ordinary),Mary O'brien,Lawlors,,Kilcarrig Street,Bagenalstown,,Co. Carlow
Kkp1010,Publican's Licence (7-Day Ordinary),Patrick Foley,High Nellys,,Milltown,Garryhill,,Co. Carlow
Cao0531,"Spirit, Beer & Wine Retailer's Off Licence",Alan Hegarty,,,Staplestown Road,Carlow,,Co. Carlow
Cap0064,Publican's Licence (7-Day Ordinary),Leslie Proundfoot,O'loughlin's Bar,,53 Dublin Street,Carlow,,Co. Carlow
1011532,Wine Retailer's On Licence,Jerzy Przybyski,Le Fermier,Jerzy Przybyski,Haymarket,,,Co. Carlow
Kko0955,Beer & Wine Retailer's Off Licence,Matthew Dunne,,,Kilree Street,Bagenalstown,,Co. Carlow
1014123,Wholesaler Dealer in Beer,Barrowside Brewing Company Limited,59 South,Shane Mullen,Killinane,Muine Bheag,,Co. Carlow
Cap0241,Publican's Licence (7-Day Ordinary),Ms Sally Walshe,Walshes,,Killerig Cross,Killerig,,Co. Carlow
Cap0080,Publican's Licence (7-Day Ordinary),Soljet Ireland Limited,The Med Bar,Mr Laurence Murray,112 - 115  Tullow Street,Carlow,,Co. Carlow
Cap0217,Publican's Licence (7-Day Ordinary),Jeremiah Meaney,Meaney's Bar,,The Quay,Leighlinbridge,,Co. Carlow
Cap0190,Publican's Licence (7-Day Ordinary),John Jackman,J J's Bar,,Mill Street,Tullow,,Co. Carlow
1013933,Wine Retailer's On Licence,Italian Tapas Limited,Bella Vita Restaurant,Claudio Giovanni Bisceglie,144 Tullow Street,,,Co. Carlow
Cap0087,Publican's Licence (7-Day Ordinary),John Behan,The Grove,,Tolerton,Ballickmoyler,,Co. Carlow
1000262,Publican's Licence (7-Day Ordinary),Ellen Ann Coleman,Murphy's,,Ballymurphy,Borris,,Co. Carlow
Cap0132,Publican's Licence (7-Day Ordinary),Martin Molloy,Molloys Public House,,Rathvilly,,,Co. Carlow
Cap0187,Publican's Licence (7-Day Ordinary),Jangold Limited,,Sean O'brien,Church Street,Tullow,,Co. Carlow
Cap0099,Publican's Licence (7-Day Ordinary),Ms Bernadette Whelan,The Mall,,Clonmore,Killeshin,,Co. Carlow
1013391,Wine Retailer's On Licence,Mohammed Hossain,Curry Garden,,Unit 5,Graigue Village Shopping Centre,,Co. Carlow
Cap0183,Publican's Licence (7-Day Ordinary),Ken Tyrell Rec Over Certain Assets Of James Finlan And Muriel Finlan,Bridge House Finlans,,Bridge Street,Tullow,,Co. Carlow
Cap0079,Publican's Licence (7-Day Ordinary),Oliver Byrne,Racey Byrne's The Plough,,79 Tullow Street,Carlow,,Co. Carlow
1011894,Wine Retailer's On Licence,Morgan Kavanagh,Borris House,Morgan Kavanagh,Borris House,Borris,,Co. Carlow
Cap0247,Publican's Licence (7-Day Ordinary),Vincent Toner,Palatine House,,Palatine,Carlow,,Co. Carlow
1008750,"Spirit, Beer & Wine Retailer's Off Licence",Catherine Lynch,,,Old Leighlin,,,Co. Carlow
Cap0060,Publican's Licence (7-Day Ordinary),Jayden Taverns Limited,Dicey Reilly's,Michael Reilly,7 Cornwall Quay,Carlow,,Co. Carlow
Cao0506,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco,,Fair Green Shopping Centre,Barrack Street/staplestown Road,Carlow,Co. Carlow
Cap0084,Publican's Licence (7-Day Ordinary),John Finn,The Castle Inn,,24 Governey Place,Carlow,,Co. Carlow
Cap0467,Publican's Licence (7-Day Ordinary),Elmpark Investments Limited,The Barracks Bar,Niall Mcloughlin,32 Tullow Street,Carlow,,Co. Carlow
Cap0100,Publican's Licence (7-Day Ordinary),Brendan Fitzpatrick,Glenside,,Killeshin,,,Co. Carlow
Cap0214,Publican's Licence (7-Day Ordinary),Patrick Downey,The Garrison Bar,,Leighlinlin Bridge,,,Co. Carlow
Cap0197,Publican's Licence (7-Day Ordinary),James Boland,Bolands Bar And Lounge,,Main Street,Hacketstown,,Co. Carlow
Cao0457,"Spirit, Beer & Wine Retailer's Off Licence",Michael Connolly And Sons Limited,Connolly's Supervalu,,Pump Street,Bagenalstown,,Co. Carlow
Cao0013,"Spirit, Beer & Wine Retailer's Off Licence",Shane Cantillon,,,Unit 4 Shamrock Business Park,Graiguecullen,,Co. Carlow
Cao0527,Wine Retailer's Off Licence,Laurence J. Murphy,,,Church Street,Tullow,,Co. Carlow
Cao0017,"Spirit, Beer & Wine Retailer's Off Licence",Tesco Ireland Limited,Tesco,,Tullowbeg,Rathvilly,,Co. Carlow
Cap0055,Publican's Licence (7-Day Ordinary),Haymarket Co Limited,Ewings,Mr Kenneth Ewing,4 Centaur Street,Carlow,,Co. Carlow
Cad0006,"Wholesaler Dealer in Beer, Wine & Spirits",Bwg Foods Limited,Value Centre,,Tullow Road,Carlow,,Co. Carlow
Cao0001,"Spirit, Beer & Wine Retailer's Off Licence",Topaz Bull Retail Limited,Topaz,,Dublin Road,Carlow,,Co. Carlow
Cao0518,"Spirit, Beer & Wine Retailer's Off Licence",O'briens Wine Off Licence,,James O'brien,Units 2 And 3 Exchequer House,Carlow,,Co. Carlow
1012481,Wine Retailer's On Licence,Chiara Niro,Caffe 500,Chiara Niro,6 Kennedy Street,,,Co. Carlow
1000167,Wine Retailer's On Licence,Emer O'brien,Mullichain Cafe,,The Old Grain Store,The Quay,St Mullins,Co. Carlow
1009340,Wine Retailer's Off Licence,Mcassey Foodmarket Limited,Mcassey's,,Main Street,Ballon,,Co. Carlow
Cap0050,Publican's Licence (7-Day Ordinary),Kevin Moore (bld Contractor) Limited,Sheriff Guevaras,Kevin Moore,11 Brown Street,Carlow,,Co. Carlow
Cap0058,Publican's Licence (7-Day Ordinary),Noel Walker,Mcsiuls,,9 Kennedy Street,Carlow,,Co. Carlow
Cap0213,Publican's Licence (7-Day Ordinary),Richard Brennan,,,Bridge Street,Leighlinbridge,,Co. Carlow
Cap0216,Publican's Licence (7-Day Ordinary),Denis Kilbride,The Rainbow Bar,,Church Street,Leighlin Bridge,,Co. Carlow
Cap0336,Publican's Licence (7-Day Ordinary),Barrow Hospitality Limited,Scraggs Alley,,12/13 Tullow Street,Carlow,,Co. Carlow
1009567,Wholesaler Dealer in Spirits,Walsh Whiskey Distillery Limited,Walsh Whiskey Distillery Limited,Bernard Walsh,Equity House,Deerpark Business Park,Dublin Road,Co. Carlow
Cap0065,Publican's Licence (7-Day Ordinary),La Croix Valmer Limited,,Thomas Lennon,56 Dublin Street,Carlow,,Co. Carlow
Caw0483,Wine Retailer's On Licence,Mary Jordan,The Forge Kilbride Cross,,Kilbride Cross,Ballon,,Co. Carlow
1010828,Manufacturer's Licence - Distiller,Walsh Whiskey Distillery Ltd,Walsh Whiskey Distillery Ltd,Bernard Walsh,Royal Oak,Bagenalstown,,Co. Carlow
Cap0097,Publican's Licence (7-Day Ordinary),Joseph Hayden,The Thatch Bar,,Maryborough Street,Graiguecullen,,Co. Carlow
Cap0081,Publican's Licence (7-Day Ordinary),Deerbourne Limited,Lennons,Ms Sinead Byrne,121 Tullow Street,Carlow,,Co. Carlow
Cao0521,Wine Retailer's Off Licence,Munnelly Bros Limited,Munnellys Checkout,Peter Munnelly,Kilkenny Road,Carlow,,Co. Carlow
Cap0218,Publican's Licence (7-Day Ordinary),Matthew Byrne,The Royal Oak Tavern,,Cloruske,Bagenalstown,,Co. Carlow
Cap0185,Publican's Licence (7-Day Ordinary),James Mcdermott,The Granite House,,Bridge Street,Tullow,,Co. Carlow
Cap0433,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Mount Wolseley Hospitality Limited,Mount Wolseley Hotel Golf And,,Country Club,Tullow,,Co. Carlow
Cap0179,Publican's Licence (7-Day Ordinary),Timothy Radford,The Fighting Cocks,,Templepeter,Nurney,,Co. Carlow
1005357,"Spirit, Beer & Wine Retailer's Off Licence",Flynn's Garage (tullow) Limited,,Ray Flynn,Dublin Road,Tullow,,Co. Carlow
Cap0240,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),The Woodford Dolmen Hotel Limited,The Dolmen Hotel,Thomas O'loughlin,Mortarstown,Kilkenny Road,Carlow,Co. Carlow
Cap0049,Publican's Licence (7-Day Ordinary),Carpenter Bros Limited,Carpenter's,Mark Carpenter,10/11 Barrack Street,Carlow,,Co. Carlow
Cap0073,Publican's Licence (7-Day Ordinary),James J.reddy (carlow) Limited,Reddys Of Carlow,Carmel Doyle,67 Tullow Street,Carlow,,Co. Carlow
Cap0234,Publican's Licence (7-Day Ordinary),James Kelly,,,Knockdoorish,Kilbride,,Co. Carlow
Cap0180,Publican's Licence (7-Day Ordinary),Jerry Malee And Catherine Malee,The Hogan Stand,Catherine Malee,Abbey Street,Tullow,,Co. Carlow
Kkw1063,Wine Retailer's On Licence,Roberta M.smith,,,Lorum Old Rectory,Kilgreaney,Bagenalstown,Co. Carlow
1001101,Wine Retailer's On Licence,Joe's Chinese Restaurant Limited,Joe's Chinese Restaurant Limited,Joe Cheung,10 Kennedy Street,Carlow,,Co. Carlow
1013265,Special Restaurant Licence,Figtree Limited,Mimosa Wine And Tapas Bar,,8 College Street,,,Co. Carlow
1002377,"Spirit, Beer & Wine Retailer's Off Licence",Lidl Ireland Gmbh,Lidl Supermarket,,The Green,Tullow,,Co. Carlow
Cao0530,"Spirit, Beer & Wine Retailer's Off Licence",Lidl Ireland Gmbh,Lidl Supermarket,,Tullow Road,Carlow,,Co. Carlow
Cap0104,Publican's Licence (7-Day Ordinary),John J. Glendon,,,Old Leighlin,Carlow,,Co. Carlow
Cap0219,Publican's Licence (7-Day Ordinary),John J.glendon,The Pint Depot,,Royal Oak,Bagenalstown,,Co. Carlow
Cap0092,Publican's Licence (7-Day Ordinary),Ms Bridie Kennedy,The High Trees,,Balynagall,Arles,,Co. Carlow
Cap0184,Publican's Licence (7-Day Ordinary),Gerard Dalton,Daltons Public House,,Bridge Street,Tullow,,Co. Carlow
Cap0101,Publican's Licence (7-Day Ordinary),Anne Dowling,,,Tomard Upper,Leighlinbridge,,Co. Carlow
1004263,Manufacturer's Licence - Distiller,Carlow Craft Brewery Ltd,Carlow Brewing Company,Seamus O'hara,Muine Bheag Business Park,Royal Oak Road,Bagenalstown,Co. Carlow
Kkp0948,Publican's Licence (7-Day Ordinary),Liam And Noeleen Dowling,The Kilree Arms,,Kilree Street,Bagenalstown,,Co. Carlow
1011779,"Spirit, Beer & Wine Retailer's Off Licence",Edward Brennan Mace Limited,,,The Corner House,Rathvilly,,Co. Carlow
Casr0463,Special Restaurant Licence,Weeping Thaiger Restaurants Limited,Weeping Thaiger Restaurant,Aidan O'toole,Mill Lane,Governey Square,Carlow,Co. Carlow
Cao0534,"Spirit, Beer & Wine Retailer's Off Licence",Aldi Stores (ireland) Limited,Aldi,,Tullow,,,Co. Carlow
Cao0492,"Spirit, Beer & Wine Retailer's Off Licence",Aldi Stores (ireland) Limited,Aldi,,Hanover Road And Barrack Street,Carlow,,Co. Carlow
1001079,"Spirit, Beer & Wine Retailer's Off Licence",Aldi Stores (ireland) Limited,Aldi,,Church Street,Carlow,,Co. Carlow
1001382,"Spirit, Beer & Wine Retailer's Off Licence",Aldi Stores (ireland) Limited,Aldi,,Aldi,Bachelor's Walk,Bagenalstown,Co. Carlow
Caw0448,Wine Retailer's On Licence,Rathwood Home And Garden World Limited,,Patrick Keogh,Rath,Tullow,,Co. Carlow
Cao0502,Wine Retailer's Off Licence,Errancourt Traders Limited,Nolans Shop 'n' Deli,Mr John Nolan,Ballon,,,Co. Carlow
Kkp1003,Publican's Licence (7-Day Ordinary),Joyce's (borris) Limited,Joyce's,Mr John Joyce And Mr Edward Joyce,Main Street,Borris,,Co. Carlow
Cabr0417,Manufacturer's Licence - Brewer,Carlow Craft Brewery Ltd,T/a Carlow Brewing Company,,Carlow Brewing Company,Muine Bheag Business Park,Royal Oak Road Bagenalstown,Co. Carlow
1013460,Manufacturer's Licence - Cider Manufacturer,Carlow Craft Brewery Ltd,"Carlow Brewing Company, Craigies Cider, Falling Apple Cider",Seamus O'hara,Muine Bheag Business Park,Roayal Oak Road,Bagenalstown,Co. Carlow
Cap0066,Publican's Licence (7-Day Ordinary),Elizabeth O'gorman,,,59 Dublin Street,Carlow,,Co. Carlow
Cad0007,"Wholesaler Dealer in Beer, Wine & Spirits",Perry's Cash And Carry Limited,Perrys Cash And Carry,Stuart Perry,Strawhall Industrial Estate,Carlow,,Co. Carlow
1010438,Wine Retailer's On Licence,Cameo Cinema Limited,Imc Carlow,Paul Ward,Fairgreen Shopping Centre,Carlow,,Co. Carlow
Cap0354,Publican's Licence (7-Day Ordinary),Jd Wetherspoon Plc,Jd Wetherspoon Ireland,,7 Tullow Street,Carlow,,Co. Carlow
Cao0497,"Spirit, Beer & Wine Retailer's Off Licence",Raths Grocery Retail,Rath's Londis,Willie Rath,4 Pollerton Road,Carlow,,Co. Carlow
Cap0078,Publican's Licence (7-Day Ordinary),Raths Hospitality,Teach Dolmen,Willie Rath,74/75/76 Tullow Street,Carlow,,Co. Carlow
Cap0169,Publican's Licence (7-Day Ordinary),Conways Public House Limited,Conways,James Conway,Kildavin,,,Co. Carlow
Cap0212,Publican's Licence (7-Day Ordinary),Leighlinbridge Enterprises Limited,The Lord Bagenal,,Bridge Street,Leighlinbridge,,Co. Carlow
Caw0001,Wine Retailer's On Licence,Nawaab Ventures Limited,Bombay Diner,Kowsar Howlader,Unit 204,Barrack Street,,Co. Carlow
Cap0074,Publican's Licence (7-Day Ordinary),Lawlors Bar Limited,The John Tyndall,Arthur Lawlor,Barrack Street,Carlow,,Co. Carlow
Cao0520,"Spirit, Beer & Wine Retailer's Off Licence",Chronos Retail Limited,,,Unit 1,Tullow Road Shopping Centre,Carlow,Co. Carlow
Cap0177,Publican's Licence (7-Day Ordinary),Maurice Roberts And Gretta Roberts,,Maurice Roberts,Myshall,,,Co. Carlow
1000002,Publican's Licence (7-Day Ordinary),Doyle's The Railway House Limited,The Railway House,Mark Doyle,Kilree Street,Bagenalstown,,Co. Carlow
1007421,Wine Retailer's On Licence,Kilcullen Asian World Food Limited,Lemongrass,Marc Mullen,Kennedy Avenue,,,Co. Carlow
1008233,Wine Retailer's Off Licence,Joseph Foley And Patrick Foley,Borris Service Station,Joseph Foley,Factory Cross,Borris,,Co. Carlow
1008585,Wine Retailer's On Licence,Ho Ting Limited,Ho Ting Asian Cuisine Restaurant,Ling Chen,Unit 7 Sandhills Shopping Centre,Hacketstown Road,,Co. Carlow
Cap0182,Publican's Licence (7-Day Ordinary),Gabriel Griffin,Griffin's Lounge,,Barrack Street,Tullow,,Co. Carlow
1001916,"Spirit, Beer & Wine Retailer's Off Licence",Walder Off Licence Limited,,,3 Barrack Street,,,Co. Carlow
1009045,Wine Retailer's Off Licence,Tempside Limited,Polonez,,Unit 1 Riverdell,Haymarket,,Co. Carlow
Cap0131,Publican's Licence (7-Day Ordinary),Thomas Byrne,The Rathvilly Inn,,Rathvilly,,,Co. Carlow
1001825,Special Restaurant Licence,Deighton Enterprises Limited,The Visual Arts Centre,Ross Byrne,Old Dublin Road,Carlow,,Co. Carlow
Cap0093,Publican's Licence (7-Day Ordinary),Anthony O'kelly,O'kelly's,,Ballickmoyler,,,Co. Carlow
1011200,Wine Retailer's Off Licence,O'reilly Stores Limited,,,Hillview Service Station,Hacketstown,,Co. Carlow
Cao0021,"Spirit, Beer & Wine Retailer's Off Licence",Lunar Supermarkets Limited,Supervalu,Barry Arthurs,Hacketstown Road,Sandhills,,Co. Carlow
1006485,Wine Retailer's On Licence,Lord And Lady Rathdonnell And Mcclintock-bunbury,Lisnavagh House,William Mcclintock Bunbury,Lisnavagh,Rathvilly,,Co. Carlow
1010033,Wholesaler Dealer in Beer,Kanut Limited,Kanut Limited,,1-2 Brown Street,,,Co. Carlow
Cap0215,Publican's Licence (7-Day Ordinary),Mill Lough Developments Limited,Kelly's Bar,,Church Street,Leighlinbridge,,Co. Carlow
1010237,Wine Retailer's Off Licence,Petrogas Group Limited,,,Kileshin Road,,,Co. Carlow
Cap0083,Publican's Licence (7-Day Ordinary),Tullys Bar Limited,Tully's Bar,Mr Patrick Tully,148/149 Tullow Street,Carlow,,Co. Carlow
1004054,Wine Retailer's Off Licence,Fitzpatricks Garage (carlow) Limited,,,Dublin Road,,,Co. Carlow
Caw0007,Wine Retailer's On Licence,Moyacomb Limited,Sha-roe Bistro,,Moyacomb House,Clonegal,,Co. Carlow
1000794,Publican's Licence (ordinary) - Theatre,Carlow Arts Centre Ltd,T/a Visual Centre For Contemporary Art & The George Bernard Shaw,,Old Dublin Road,Carlow,,Co. Carlow
Cao0421,"Spirit, Beer & Wine Retailer's Off Licence",Byrne Supervalu (hacketstown) Limited,Byrne Supervalu (hacketstown),,Hacketstown,,,Co. Carlow
1000279,Wine Retailer's On Licence,Lord Annally Catering Limited,Riverbank Restaurant,Snakow Smyln,The Link Road,Tullow,,Co. Carlow
1010994,"Spirit, Beer & Wine Retailer's Off Licence",Mccullagh's Service Station Limited,,,Church Street,Bagenalstown,,Co. Carlow
Cap0002,Publican's Licence (7-Day Ordinary),Barrow Estoria Limited,Estoria,,Main Street,Bagenalstown,,Co. Carlow
1008154,Wine Retailer's Off Licence,Petrogas Group Limited,,,Tullow Road,,,Co. Carlow
Cao0512,"Spirit, Beer & Wine Retailer's Off Licence",Z Stations Limited,Zerafa's Centra Ballon,Mr Dion Zerefa,Ballon,,,Co. Carlow
Cap0061,Publican's Licence (7-Day Ordinary),Billy Idol Limited,The Irishman,Mr Declan O'loughlin,Court Place,Carlow,,Co. Carlow
Cao0513,"Spirit, Beer & Wine Retailer's Off Licence",Hickson Supermarkets Limited,Hickson's Supervalu Tullow,,Bridge Street,Tullow,,Co. Carlow
Cap0188,Publican's Licence (7-Day Ordinary),N And I O'byrne Limited,Forans Public House,Ms Noeleen O'byrne,Church Street,Tullow,,Co. Carlow
Cap0194,Publican's Licence (7-Day Ordinary),Ada Investments Limited,,,Clonmore,Hacketstown,,Co. Carlow
1007636,Wine Retailer's Off Licence,Astor Valley Limited,,William Corrigan,Kilree,Bagenalstown,,Co. Carlow
Cap0165,Publican's Licence (7-Day Ordinary),K O B Public House Limited,Kavanagh's,Paul Kavanagh,Ballon,,,Co. Carlow
1007691,Wine Retailer's Off Licence,Healy Fine Foods Limited,The Chocolate Garden Of Ireland/all Hampers/wicklow Fine Foods,,Rath,Tullow,,Co. Carlow
Cao0535,"Spirit, Beer & Wine Retailer's Off Licence",Rayro Service Station Limited,Maxol Mace O'brien Road Carlow,,O'brien Road,Carlow,,Co. Carlow
Cao0486,Wine Retailer's Off Licence,Mentroy Limited,Big Services,Noel Keenan And Bronagh Keenan,Pollerton Big,,,Co. Carlow
Cap0052,Publican's Licence (7-Day Ordinary),Hi-tech Print Services Limited,Castle Off Licence,Mr James Barcoe,"5, 6 And 8 Castle Street",Carlow,,Co. Carlow
Cad0016,Wholesaler Dealer in Wine,Amber Wines Limited,,Mr Stuart Bayley,Coolraine House,Carlow,,Co. Carlow
Cao0523,Wine Retailer's Off Licence,Oakview Food Stores Limited,O'keeffe's,James O'mahony,Athy Road,Carlow,,Co. Carlow
Caw0465,Wine Retailer's On Licence,Ard Services Limited,Fareplay,,Greenlane Service Station,"Greenlane, Dublin Road",Carlow,Co. Carlow
1008847,Wine Retailer's On Licence,Kai Hou Tai,Lotus Chinese Restaurant,,Unit 2 Kennedy Avenue,,,Co. Carlow
Kkp1006,Publican's Licence (7-Day Ordinary),Celina Byrne,,,Glynn,St Mullins,,Co. Carlow
Cap0057,Publican's Licence (7-Day Ordinary),Declan Mchugh,Nancy Whiskey's,,1 Church Street,Carlow,,Co. Carlow
Kkp0999,Publican's Licence (7-Day Ordinary),Eric Osborne,Osborne's Pub,,Rathanna,Borris,,Co. Carlow
Kkp1005,Publican's Licence (7-Day Ordinary),James Doyle,John A's,,Glynn,St Mullins,,Co. Carlow
Cao0011,Wine Retailer's Off Licence,Ard Services Limited,Shell,,Shell Service Station,Tullow Road,Carlow,Co. Carlow
Kkp1008,Publican's Licence (7-Day Ordinary),Luke Kavanagh,Blanchfields,,St Mullins,,,Co. Carlow
Cap0374,Publican's Licence (7-Day Ordinary),Daleport Taverns Limited,Miller's Bar,Mr Gerard Cahill,Tullow Road,Carlow,,Co. Carlow
Cap0192,Publican's Licence (7-Day Ordinary),John A. Myers,The Deereen Inn,,Mill Street,Tullow,,Co. Carlow
Cap0199,Publican's Licence (7-Day Ordinary),Elizabeth Townsend,The Corner,,Main Street,Hacketstown,,Co. Carlow
Cap0405,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Flexhaven Limited,The Dinn Ri Hotel,Mr Sean Mcloughlin,Potato Market,Tullow Street,Carlow,Co. Carlow
Cn0983,Wine Retailer's On Licence,Karen Michelle Sedgwick,Rahulton Restaurant,,Rahulton,Castle Saunderson,Belturbet,Co. Cavan
1011905,Wine Retailer's On Licence,Ya Jin Cai And Ben Guo Zheng,Bens Asian Restaurant,,26 Main Street,Belturbet,,Co. Cavan
Cn0005,Publican's Licence (7-Day Ordinary),Thomas J. Seery,Eagle Bar,,Main Street,Arva,,Co. Cavan
Cn0001c,Manufacturer's Licence - Compounder of Spirits,Terra Ltd,,,Institute Road,Bailieboro,,Co. Cavan
Cl0063,Publican's Licence (7-Day Ordinary),Seamus Nulty,The Oakland Arms,,Bridge Street,Cootehill,,Co. Cavan
Cn0175,Publican's Licence (7-Day Ordinary),Michael Mcmanus,The Swan Bar,,Chapel Street,Swanlinbar,,Co. Cavan
1012383,Wine Retailer's On Licence,Ko's Chinese Restaurant (cavan) Limited,Ko's,Qui Zhen Chen,61 Main Street,,,Co. Cavan
Cn0129,Publican's Licence (7-Day Ordinary),Cormore Investments Limited,The Thomas Ashe,,Ashe Street,Cavan,,Co. Cavan
1013224,Wine Retailer's Off Licence,L And S Launar Developments Limited,,Leon Smith,Portaliffe,Killeshandra,,Co. Cavan
Cn037d,Wholesaler Dealer in Wine,Kadona Limited,,,Drumuck,Stradone,,Co. Cavan
Cn0920,Wine Retailer's Off Licence,Sunnyside Filling Station Limited,Sunnyside Filling Station,Laurence Keenan Junior,Kingscourt Road,Shercock,,Co. Cavan
Dg1119,"Spirit, Beer & Wine Retailer's Off Licence",Izzy Limited,Victory's Foodstore,,Main Street,Kingscourt,,Co. Cavan
1003505,Wine Retailer's Off Licence,Kiernans Service Station Limited,Spar Express,,Pullamore Business Park,Dublin Road,,Co. Cavan
Cn0873,Publican's Licence (7-Day Ordinary),The Stray Sod Limited,The Stray Sod,Eamon Denning,Drumauna,,,Co. Cavan
Cn0954,Wine Retailer's Off Licence,The Stray Sod Limited,Gala Dennings,,Drumoura,Drung,,Co. Cavan
1010962,Wine Retailer's On Licence,Otean Restaurant And Takeaway Limited,Otean Restaurant And Takeaway,Huamei Xue,1st Floor,62 Main Street,Cavan,Co. Cavan
Cn0830,Wine Retailer's Off Licence,Spa Service Station Limited,Spa Service Station,Michael O'reilly,Main Street,Swanlinbar,,Co. Cavan
Cn0587,Publican's Licence (7-Day Ordinary),Tony Clarke,The Beer Garden,,Oldcastle Street,Ballyjamesduff,,Co. Cavan
Cn0064,Publican's Licence (7-Day Ordinary),Andrew Cronin,Crannog,,Main Street,Ballinagh,,Co. Cavan
Cn0424,Publican's Licence (7-Day Ordinary),Art Mcseain,Mcseain's Cornafean,,Drumcoghill,Cornafean,,Co. Cavan
Cn0727,Publican's Licence (7-Day Ordinary),"Anne Murray,carl Murray,barry Murray,donal Murray And Nicole Murray",The Vault Bar,Ciaran Murray,Main Street,Cavan,,Co. Cavan
Dg0475,Publican's Licence (7-Day Ordinary),Acetalab Limited,The Riverfront Hotel,Antoinette Murray,Main Street,Virginia,,Co. Cavan
Cn0918,Wine Retailer's Off Licence,Nicholas Smith And Mary Duffy,The Federal Stores,,Church Street,Shercock,,Co. Cavan
Cn0900,"Spirit, Beer & Wine Retailer's Off Licence",Ard Services Limited,Harry's Top Shop,,Dublin Road,Cavan,,Co. Cavan
Dg0665,Publican's Licence (7-Day Ordinary),Dongorrey Limited,Clarke's Xl,,Main Street,Bailieborough,,Co. Cavan
Dg0692,Publican's Licence (7-Day Ordinary),John Ruxton And Teresa Ruxton,Crossans,Teresa Ruxton,Main Street,Bailieborough,,Co. Cavan
Cn0926,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Patrick And Bernadette Kelly,Errigal Country House Hotel,,Errigal,Cootehill,,Co. Cavan
Cn0931,Wine Retailer's Off Licence,Raymond O'reilly And Sharon Reilly,O'reillys,Raymond O'reilly,Drumroragh,Ballyjamesduff,,Co. Cavan
Cn0075,Publican's Licence (7-Day Ordinary),Castlehill Bar Limited,The Castle Sport Bar And Lounge,,4 The Diamond,Belturbet,,Co. Cavan
Cn0073,Publican's Licence (7-Day Ordinary),Adrian Mckiernan,The Whiskey Barrell And Donohoes Bar,,Main Street,Belturbet,,Co. Cavan
