licence_ref,description,licensee_name,trading_name,nominee_name,address_1,address_2,address_3,county
Cxp832,Publican's Licence (7-Day Ordinary),William Barrett,,,Killeady,Ballinhassig,,Co. Cork
Mwp243,Publican's Licence (7-Day Ordinary),Patrick And Carol Mansfield,The Haven Bar,Patrick Mansfield,Main Street,Kilavullen,Mallow,Co. Cork
Cxp520,Publican's Licence (7-Day Ordinary),Towering Leisure Limited,J. C. Murphy,Oliver Favier,Middle Square,Macroom,,Co. Cork
Cxp997,Publican's Licence (7-Day Ordinary),Tadgh Foley Limited,Tides Bar And Restaurant,,Upper Strand,Youghal,,Co. Cork
Cxp202,Publican's Licence (7-Day Ordinary),Swiftcastle Limited,The Quality Hotel And Leisure Centre,,Redbarn,Youghal,,Co. Cork
Cxp1003,Publican's Licence (Ordinary) Hotel - BF - 1902 Act (Public Bar),Serdang Limited,Blarney Golf Resort,Garth Byrne,Tower,Blarney,,Co. Cork
Cxp636,Publican's Licence (7-Day Ordinary),The Beer Garden Limited,The Beer Garden,James Greene,10-12 Evergreen Road,Turners Cross,,Co. Cork
Cxp923,Publican's Licence (7-Day Ordinary),Kaye Moroney,The Winners Enclosure,,Conna,Mallow,,Co. Cork
1001723,"Spirit, Beer & Wine Retailer's Off Licence",Rands Supermarket Limited,Euro Deals,,Newtown Road Ringmeen,Cobh,,Co. Cork
Cxo414,"Spirit, Beer & Wine Retailer's Off Licence",Rands Supermarket Limited,Spar Curley Londis,,17/18 Midleton Street,Cobh,,Co. Cork
1008342,Manufacturer's Licence - Brewer,Sciobdun Limited,West Cork Brewing Company,Dominic Casey,Church Strand,Baltimore,,Co. Cork
1001850,"Spirit, Beer & Wine Retailer's Off Licence",Cork Retailers Limited,Kingston's Supermarket Dunmanway,Colman Day,Main Street,Dunmanway,,Co. Cork
1009619,Wine Retailer's Off Licence,Angland Service Station Limited,,Denis Angland,Dromagh,Mallow,,Co. Cork
Cxp311,Publican's Licence (7-Day Ordinary),Margaret Sheehan,Dan Sheahan's Bar And Restaurant,,Ovens,,,Co. Cork
1013255,Wine Retailer's On Licence,Linnlee Limited,Wilton Willow,Gary Lee,"Leslies Cross, Wilton, Cork",,,Co. Cork
Mwo095,"Spirit, Beer & Wine Retailer's Off Licence",Seomranora Limited,Downey's Spar Supermarket,,Main Street,Castletownroche,,Co. Cork
Cxp313,Publican's Licence (7-Day Ordinary),Camelot Point Limited,Fox And Hounds,,Banduff,Ballyvolane,,Co. Cork
1012870,Wine Retailer's On Licence,Hannas Market And Cafes Limited,Hannas,David Ryan,"21, 23 And 25 Patrick Street",Fermoy,,Co. Cork
Cxp282,Publican's Licence (7-Day Ordinary),Active Bundles Limited,The Bull Mccabes Pub,Derek Dunne,Ballycurreen,Kinsale Road,Cork,Co. Cork
Cxp241,Publican's Licence (7-Day Ordinary),Churchyard Holdings Limited,The Venue Bar,Con Dennehy,Ballintemple,Cork,,Co. Cork
1008177,Wine Retailer's On Licence,The Square Table Limited,The Squre Table Limited,Martina Cronin,5 The Square,Blarney,Co Cork,Co. Cork
1001400,Wine Retailer's On Licence,Mgz Limited,,Zoltan Kerner,Rivergate Cafe,Rivergate Mall,Youghal,Co. Cork
1009663,Wine Retailer's Off Licence,Broadale Stores Limited,,Michael Buckley,Maryborough Hill,Douglas,,Co. Cork
1010925,Wine Retailer's Off Licence,Patrick Moynihan,,,Moynihan's Shop,Rathduff,Grenagh,Co. Cork
1009233,"Spirit, Beer & Wine Retailer's Off Licence",O'brien's Service Station Bishopstown Limited,O'brien's Service Station,,"William O'brien Site, Bandon Road",Ardrostig,Bishopstown,Co. Cork
Cxv003,Passenger Vessel Licence,Captain Jerome Lordan,Vessel Name: Spirit Of Kinsale,,Owner: Dun Cearmna Teoranta,Mooring Address: Kinsale,,Co. Cork
