id,latitude,longitude,name,type,color,url
231,53.834777,-7.093105,The Virginia Park Lodge,pub,a80000,
232,54.07309009999999,-7.083869200000001,E O'reilly,pub,a80000,
233,53.99127799999999,-7.360043,Farnham Arms Hotel,pub,a80000,
234,53.343154,-6.281616,Arthurs Bar,pub,a80000,
236,54.1166597,-7.583624200000001,Lees,pub,a80000,
240,53.8731771,-7.534035899999999,Fitzpatricks Tavern,pub,a80000,
242,54.1016935,-7.4458,The Lawn,pub,a80000,
243,54.0157047,-7.529079299999999,Kelly's,pub,a80000,
244,53.91373309999999,-6.774575,Cabra Castle,pub,a80000,
246,54.1011073,-7.445819,The Cosy Bar,pub,a80000,
247,53.8113652,-6.944518,Tyrrell's,pub,a80000,
249,54.0729814,-7.0831615,The West End Bar,pub,a80000,
251,53.98946669999999,-7.3602849,Jp's Bar And Lounge,pub,a80000,
254,53.9159193,-6.9691957,Failte,pub,a80000,
255,54.0429804,-7.375216399999998,The Derragarra Inn,pub,a80000,
256,53.991858,-7.359743,The New York Bar,pub,a80000,
260,53.83432029999999,-7.081275,Macgabhainns Bar,pub,a80000,
263,53.818731,-7.05363,The Lakeside Manor,pub,a80000,
264,53.9156708,-6.9682185,The Square Bar,pub,a80000,
267,53.91665920000001,-6.9708232,Hall's,pub,a80000,
268,53.989666,-7.3633199,The Slieve Rossa,pub,a80000,
269,53.9954834,-6.8993158,Shercock House,pub,a80000,
272,53.8115204,-6.946396099999999,John Joe Lynch,pub,a80000,
274,53.83779,-7.073875999999999,Enagh House,pub,a80000,
275,54.0015756,-7.3539496,The Orchard,pub,a80000,
276,54.11657599999999,-7.583209999999999,Donohoe,pub,a80000,
281,53.78711999999999,-7.053179800000001,The Silver Dove Bar,pub,a80000,
282,53.8622042,-7.3211073,"T/a Pius, Polo Grounds Pub",pub,a80000,
283,53.905797,-6.8052231,M And F's Bar,pub,a80000,
284,53.988269,-7.3603893,The Top Of The Town,pub,a80000,
286,53.9949614,-6.8978239,O'mahony's,pub,a80000,
288,53.90712689999999,-6.8050342,Gartlans,pub,a80000,
289,53.9835758,-7.346192100000001,The Meadowview Lounge,pub,a80000,
293,54.1027032,-7.440034900000001,The Harbour,pub,a80000,
299,53.863716,-7.2069763,The High Stool,pub,a80000,
300,53.9667038,-7.2292686,The Lavey Inn,pub,a80000,
301,54.07501569999999,-7.0801561,White Horse Hotel,pub,a80000,
303,53.9947712,-6.8971711,Burns,pub,a80000,
304,53.9053708,-6.8051046,Murtagh's Pub,pub,a80000,
305,53.9908662,-7.360204199999999,Bradys,pub,a80000,
306,54.01336389999999,-7.527651799999998,Gilsenans,pub,a80000,
310,53.77693840000001,-7.501225600000001,Sheridans Pub,pub,a80000,
311,54.0996679,-7.320118,Mccaffrey's,pub,a80000,
312,53.9159598,-6.968588899999999,The Castle Inn,pub,a80000,
313,53.9236832,-7.582612200000001,The Goal Post,pub,a80000,
315,54.0740752,-7.0809916,Mullens,pub,a80000,
316,53.91619979999999,-6.969980199999999,Murtaghs,pub,a80000,
317,53.9053708,-6.8051046,Clarkes Corner Bar,pub,a80000,
318,54.1008667,-7.444041299999999,The Seven Horse Shoes Hotel,pub,a80000,
319,54.1921467,-7.892649100000001,Glan Bar,pub,a80000,
320,53.9916654,-7.360100999999998,Blessings,pub,a80000,
321,53.833863,-7.080184099999999,The Ramor Lodge Hotel,pub,a80000,
322,54.07359659999999,-7.0808743,The Bellamori Arms,pub,a80000,
324,53.8645112,-7.2050786,The Royal Bar,pub,a80000,
326,54.2914304,-7.8765719,F Maguire,pub,a80000,
327,53.9908662,-7.360204199999999,Brady's,pub,a80000,
328,53.9456242,-8.0955126,Dunne's Bar,pub,a80000,
329,53.98985279999999,-7.361252500000001,Mccauls,pub,a80000,
330,53.9049519,-6.8047508,Freeman's,pub,a80000,
332,54.1008834,-7.443847399999999,The Widows Bar,pub,a80000,
334,53.86443149999999,-7.2062225,Crowes Corner,pub,a80000,
335,53.27661999999999,-7.495196999999999,Lynchs Bar,pub,a80000,
338,53.8374919,-7.4338878,Glann Bar And Lounge,pub,a80000,
340,54.0520095,-7.804125099999999,Hughies,pub,a80000,
341,54.11594789999999,-7.5834017,The Woodford Arms,pub,a80000,
342,53.92378,-7.5845533,The Brewery,pub,a80000,
343,54.11685139999999,-7.583253999999998,The Brandywell Bar,pub,a80000,
344,53.85825879999999,-7.2036906,Colm's Bar,pub,a80000,
345,54.1940237,-7.704355399999999,The Stables Bar,pub,a80000,
348,54.01336389999999,-7.527651799999998,Shamrock Inn,pub,a80000,
349,54.102111,-7.450875999999999,Flynns Bar,pub,a80000,
350,54.11730009999999,-7.586307399999999,Lizzies,pub,a80000,
351,54.2909805,-7.874738299999999,The Dugout,pub,a80000,
352,53.9308565,-7.3212726,The Tank,pub,a80000,
354,53.9044515,-6.804848199999999,Malones Bar,pub,a80000,
355,53.8737878,-7.533784,Whites,pub,a80000,
356,53.9241134,-7.583031399999999,Lynch's,pub,a80000,
358,53.953361,-7.434547899999999,The Shantully Inn,pub,a80000,
360,54.06122999999999,-7.737891400000001,Ballymac Inn,pub,a80000,
361,53.91687659999999,-6.9708872,Kangley's Pub,pub,a80000,
362,53.957349,-7.434313,Rocks Of Bawn,pub,a80000,
363,53.932216,-7.408003,Caseys Steak Bar,pub,a80000,
364,53.8333977,-7.267089299999999,The Bridge Inn,pub,a80000,
365,53.8348337,-7.0823719,The Whistlestop,pub,a80000,
366,54.1900827,-8.0162777,The Shannon House,pub,a80000,
369,54.1008355,-7.444153699999999,The Duckin Stool,pub,a80000,
370,53.906175,-6.80483,The Wishing Well,pub,a80000,
372,53.9053708,-6.8051046,Donohoes Lounge Bar,pub,a80000,
373,53.9153971,-6.969545999999999,M. Giles And Sons,pub,a80000,
374,54.0137769,-7.528164100000001,Loughbawn Hotel,pub,a80000,
375,54.0452119,-7.3769588,High Ball Inn,pub,a80000,
376,53.86360819999999,-7.208035000000001,Reasons,pub,a80000,
377,54.0473393,-7.3155094,Brady Brothers,pub,a80000,
378,53.9887393,-7.360616299999999,Maura's Bar,pub,a80000,
380,53.85724370000001,-6.5400658,Boylans Bar And Lounge,pub,a80000,
381,54.11892030000001,-7.7478236,Feehans Pub,pub,a80000,
382,53.9903947,-7.360271200000001,The White Star,pub,a80000,
383,53.8401977,-7.369859099999999,Kiernan,pub,a80000,
385,54.0728307,-7.0828685,Paddy O'leary,pub,a80000,
386,53.98946129999999,-7.363038899999999,Mcginnity's Bar,pub,a80000,
387,54.0137769,-7.528164100000001,Royal Hotel,pub,a80000,
388,53.345569,-6.265124999999999,Fitzsimons,pub,a80000,
391,53.9884581,-7.360399999999999,Delaneys Bar,pub,a80000,
